Y11 imS X,Y11 imS Y
10000000,-0.06160980426281457
11000000,-0.06770447318348827
12000000,-0.07378035844515902
13000000,-0.07983582562896109
14000000,-0.08586925900411314
15000000,-0.09187906291994231
16000000,-0.09786366315991218
17000000,-0.1038215082553409
18000000,-0.1097510707566483
19000000,-0.1156508484600899
20000000,-0.1215193655880715
21000000,-0.1273551739213016
22000000,-0.1331568538811595
23000000,-0.1389230155608252
24000000,-0.1446522997038657
25000000,-0.1503433786291251
26000000,-0.1559949571009095
27000000,-0.1616057731436518
28000000,-0.1671745988003302
29000000,-0.172700240834153
30000000,-0.1781815413730929
31000000,-0.1836173784970679
32000000,-0.1890066667676715
33000000,-0.1943483577005417
34000000,-0.1996414401805405
35000000,-0.2048849408201339
36000000,-0.2100779242614002
37000000,-0.2152194934223242
38000000,-0.2203087896880568
39000000,-0.2253449930480271
40000000,-0.2303273221798386
41000000,-0.2352550344810111
42000000,-0.2401274260497527
43000000,-0.2449438316159793
44000000,-0.2497036244239522
45000000,-0.2544062160679259
46000000,-0.2590510562823098
47000000,-0.2636376326878866
48000000,-0.2681654704956958
49000000,-0.2726341321702701
50000000,-0.2770432170538833
51000000,-0.2813923609536034
52000000,-0.2856812356928878
53000000,-0.2899095486295425
54000000,-0.2940770421418541
55000000,-0.2981834930847144
56000000,-0.3022287122176083
57000000,-0.3062125436062539
58000000,-0.3101348639997628
59000000,-0.3139955821851402
60000000,-0.3177946383209098
61000000,-0.3215320032516777
62000000,-0.3252076778053926
63000000,-0.3288216920750303
64000000,-0.3323741046864268
65000000,-0.3358650020539155
66000000,-0.3392944976254165
67000000,-0.3426627311185463
68000000,-0.3459698677493416
69000000,-0.3492160974550422
70000000,-0.3524016341124439
71000000,-0.3555267147531832
72000000,-0.3585915987773486
73000000,-0.3615965671666682
74000000,-0.3645419216985901
75000000,-0.367427984162377
76000000,-0.3702550955784092
77000000,-0.3730236154217509
78000000,-0.3757339208510154
79000000,-0.3783864059435124
80000000,-0.3809814809375635
81000000,-0.383519571482878
82000000,-0.3860011178997926
83000000,-0.3884265744481173
84000000,-0.3907964086062792
85000000,-0.393111100361455
86000000,-0.3953711415112365
87000000,-0.397577034977415
88000000,-0.3997292941323687
89000000,-0.4018284421385039
90000000,-0.4038750113011605
91000000,-0.4058695424353433
92000000,-0.4078125842465948
93000000,-0.4097046927262775
94000000,-0.411546430561524
95000000,-0.4133383665600313
96000000,-0.415081075089869
97000000,-0.4167751355344433
98000000,-0.4184211317626597
99000000,-0.4200196516144207
100000000,-0.4215712864014158
101000000,-0.4230766304232544
102000000,-0.4245362804988814
103000000,-0.42595083551327
104000000,-0.4273208959792534
105000000,-0.4286470636144598
106000000,-0.4299299409331903
107000000,-0.4311701308531182
108000000,-0.4323682363166504
109000000,-0.4335248599267826
110000000,-0.4346406035972503
111000000,-0.435716068216769
112000000,-0.436751853327173
113000000,-0.4377485568151945
114000000,-0.4387067746176574
115000000,-0.4396271004398473
116000000,-0.44051012548678
117000000,-0.4413564382071341
118000000,-0.4421666240495443
119000000,-0.4429412652309961
120000000,-0.4436809405170623
121000000,-0.4443862250136455
122000000,-0.4450576899699991
123000000,-0.4456959025926924
124000000,-0.4463014258702451
125000000,-0.4468748184081423
126000000,-0.4474166342739458
127000000,-0.4479274228521687
128000000,-0.4484077287086898
129000000,-0.4488580914643487
130000000,-0.4492790456774767
131000000,-0.4496711207350777
132000000,-0.4500348407523379
133000000,-0.4503707244802403
134000000,-0.4506792852209482
135000000,-0.450961030750736
136000000,-0.4512164632501618
137000000,-0.4514460792412395
138000000,-0.4516503695313346
139000000,-0.4518298191635266
140000000,-0.4519849073732163
141000000,-0.4521161075506762
142000000,-0.4522238872093626
143000000,-0.4523087079597106
144000000,-0.4523710254881997
145000000,-0.4524112895414619
146000000,-0.4524299439151996
147000000,-0.4524274264477321
148000000,-0.4524041690179101
149000000,-0.4523605975472444
150000000,-0.4522971320060269
151000000,-0.4522141864232311
152000000,-0.4521121689000628
153000000,-0.4519914816269094
154000000,-0.4518525209035691
155000000,-0.4516956771625465
156000000,-0.4515213349952837
157000000,-0.4513298731811386
158000000,-0.4511216647189684
159000000,-0.4508970768611747
160000000,-0.450656471150043
161000000,-0.4504002034562617
162000000,-0.45012862401947
163000000,-0.4498420774907049
164000000,-0.4495409029766349
165000000,-0.4492254340854354
166000000,-0.4488959989742169
167000000,-0.4485529203978698
168000000,-0.4481965157592412
169000000,-0.4478270971605074
170000000,-0.4474449714556895
171000000,-0.4470504403041619
172000000,-0.4466438002251142
173000000,-0.44622534265284
174000000,-0.4457953539927935
175000000,-0.445354115678309
176000000,-0.4449019042279386
177000000,-0.4444389913033085
178000000,-0.4439656437674305
179000000,-0.4434821237434048
180000000,-0.4429886886734548
181000000,-0.4424855913782164
182000000,-0.4419730801162499
183000000,-0.441451398643683
184000000,-0.440920786273979
185000000,-0.4403814779377341
186000000,-0.4398337042424851
187000000,-0.4392776915324807
188000000,-0.438713661948365
189000000,-0.4381418334867258
190000000,-0.4375624200594996
191000000,-0.4369756315531656
192000000,-0.4363816738877119
193000000,-0.4357807490753401
194000000,-0.4351730552788646
195000000,-0.4345587868698145
196000000,-0.4339381344861599
197000000,-0.4333112850896829
198000000,-0.4326784220229541
199000000,-0.4320397250658743
200000000,-0.431395370491802
201000000,-0.4307455311232099
202000000,-0.4300903763868702
203000000,-0.4294300723685596
204000000,-0.4287647818672491
205000000,-0.4280946644487813
206000000,-0.4274198764990276
207000000,-0.4267405712764847
208000000,-0.4260568989643357
209000000,-0.4253690067219488
210000000,-0.4246770387358033
211000000,-0.4239811362698399
212000000,-0.4232814377152296
213000000,-0.4225780786395577
214000000,-0.4218711918354093
215000000,-0.42116090736836
216000000,-0.42044735262436
217000000,-0.4197306523565317
218000000,-0.4190109287313375
219000000,-0.4182883013741578
220000000,-0.417562887414251
221000000,-0.4168348015291116
222000000,-0.4161041559882104
223000000,-0.4153710606961352
224000000,-0.4146356232351182
225000000,-0.413897948906956
226000000,-0.4131581407743318
227000000,-0.4124162997015247
228000000,-0.4116725243945351
229000000,-0.4109269114405887
230000000,-0.4101795553470755
231000000,-0.4094305485798743
232000000,-0.4086799816011028
233000000,-0.4079279429062849
234000000,-0.4071745190609274
235000000,-0.406419794736546
236000000,-0.4056638527460922
237000000,-0.4049067740788381
238000000,-0.4041486379346969
239000000,-0.4033895217579785
240000000,-0.4026295012706061
241000000,-0.4018686505047893
242000000,-0.4011070418351497
243000000,-0.400344746010323
244000000,-0.3995818321840327
245000000,-0.3988183679456344
246000000,-0.3980544193501601
247000000,-0.3972900509478373
248000000,-0.3965253258131169
249000000,-0.395760305573202
250000000,-0.3949950504360756
251000000,-0.394229619218062
252000000,-0.3934640693708937
253000000,-0.392698457008315
254000000,-0.3919328369322164
255000000,-0.3911672626583115
256000000,-0.3904017864413613
257000000,-0.3896364592999431
258000000,-0.3888713310407957
259000000,-0.3881064502827123
260000000,-0.3873418644800154
261000000,-0.386577619945611
262000000,-0.3858137618736172
263000000,-0.3850503343615953
264000000,-0.3842873804323709
265000000,-0.3835249420554557
266000000,-0.3827630601680858
267000000,-0.382001774695868
268000000,-0.3812411245730486
269000000,-0.3804811477624137
270000000,-0.3797218812748146
271000000,-0.3789633611883362
272000000,-0.3782056226671133
273000000,-0.377448699979787
274000000,-0.3766926265176274
275000000,-0.3759374348123133
276000000,-0.3751831565533752
277000000,-0.3744298226053215
278000000,-0.3736774630244304
279000000,-0.3729261070752334
280000000,-0.3721757832466853
281000000,-0.3714265192680297
282000000,-0.3706783421243596
283000000,-0.3699312780718877
284000000,-0.3691853526529232
285000000,-0.3684405907105648
286000000,-0.367697016403112
287000000,-0.3669546532182011
288000000,-0.3662135239866702
289000000,-0.3654736508961631
290000000,-0.3647350555044604
291000000,-0.3639977587525691
292000000,-0.3632617809775459
293000000,-0.3625271419250861
294000000,-0.3617938607618548
295000000,-0.3610619560875965
296000000,-0.3603314459469937
297000000,-0.3596023478413064
298000000,-0.3588746787397825
299000000,-0.3581484550908444
300000000,-0.3574236928330594
301000000,-0.3567004074058987
