Z11 reOhm X,Z11 reOhm Y
10000000,1.098348474621319
11000000,1.098355289894225
12000000,1.098362753757929
13000000,1.098370866080823
14000000,1.098379626719866
15000000,1.098389035520619
16000000,1.098399092317222
17000000,1.098409796932433
18000000,1.098421149177611
19000000,1.098433148852735
20000000,1.098445795746416
21000000,1.098459089635904
22000000,1.098473030287085
23000000,1.098487617454522
24000000,1.098502850881442
25000000,1.098518730299745
26000000,1.098535255430043
27000000,1.098552425981637
28000000,1.098570241652566
29000000,1.098588702129594
30000000,1.098607807088242
31000000,1.098627556192785
32000000,1.098647949096295
33000000,1.098668985440633
34000000,1.098690664856472
35000000,1.098712986963316
36000000,1.098735951369528
37000000,1.098759557672328
38000000,1.098783805457832
39000000,1.098808694301058
40000000,1.098834223765947
41000000,1.098860393405403
42000000,1.09888720276128
43000000,1.098914651364435
44000000,1.098942738734734
45000000,1.098971464381084
46000000,1.099000827801445
47000000,1.099030828482864
48000000,1.099061465901503
49000000,1.099092739522643
50000000,1.099124648800741
51000000,1.09915719317943
52000000,1.099190372091557
53000000,1.09922418495921
54000000,1.099258631193742
55000000,1.099293710195813
56000000,1.099329421355395
57000000,1.099365764051818
58000000,1.099402737653807
59000000,1.099440341519489
60000000,1.099478574996444
61000000,1.099517437421733
62000000,1.099556928121919
63000000,1.099597046413119
64000000,1.099637791601016
65000000,1.09967916298091
66000000,1.099721159837735
67000000,1.09976378144612
68000000,1.099807027070395
69000000,1.09985089596464
70000000,1.099895387372727
71000000,1.09994050052835
72000000,1.099986234655053
73000000,1.100032588966289
74000000,1.100079562665438
75000000,1.100127154945854
76000000,1.10017536499091
77000000,1.100224191974023
78000000,1.100273635058711
79000000,1.100323693398617
80000000,1.100374366137557
81000000,1.100425652409567
82000000,1.100477551338935
83000000,1.100530062040245
84000000,1.100583183618431
85000000,1.100636915168798
86000000,1.100691255777088
87000000,1.10074620451951
88000000,1.100801760462788
89000000,1.100857922664207
90000000,1.100914690171656
91000000,1.100972062023677
92000000,1.101030037249497
93000000,1.101088614869101
94000000,1.101147793893249
95000000,1.101207573323547
96000000,1.101267952152483
97000000,1.10132892936346
98000000,1.101390503930885
99000000,1.101452674820172
100000000,1.101515440987819
101000000,1.101578801381444
102000000,1.101642754939853
103000000,1.101707300593059
104000000,1.101772437262359
105000000,1.101838163860376
106000000,1.101904479291099
107000000,1.101971382449955
108000000,1.102038872223845
109000000,1.102106947491199
110000000,1.102175607122025
111000000,1.102244849977975
112000000,1.102314674912381
113000000,1.102385080770314
114000000,1.102456066388644
115000000,1.102527630596083
116000000,1.102599772213249
117000000,1.102672490052708
118000000,1.102745782919032
119000000,1.102819649608871
120000000,1.102894088910976
121000000,1.102969099606286
122000000,1.103044680467962
123000000,1.103120830261449
124000000,1.103197547744531
125000000,1.103274831667401
126000000,1.103352680772683
127000000,1.103431093795533
128000000,1.103510069463656
129000000,1.103589606497386
130000000,1.103669703609748
131000000,1.103750359506487
132000000,1.103831572886161
133000000,1.103913342440162
134000000,1.103995666852813
135000000,1.104078544801394
136000000,1.104161974956221
137000000,1.104245955980694
138000000,1.104330486531351
139000000,1.104415565257953
140000000,1.104501190803501
141000000,1.104587361804342
142000000,1.104674076890192
143000000,1.104761334684215
144000000,1.104849133803074
145000000,1.104937472856991
146000000,1.105026350449821
147000000,1.105115765179086
148000000,1.105205715636065
149000000,1.105296200405836
150000000,1.105387218067328
151000000,1.105478767193417
152000000,1.105570846350947
153000000,1.105663454100818
154000000,1.105756588998026
155000000,1.105850249591749
156000000,1.105944434425387
157000000,1.106039142036631
158000000,1.106134370957531
159000000,1.106230119714539
160000000,1.106326386828596
161000000,1.106423170815174
162000000,1.106520470184342
163000000,1.10661828344084
164000000,1.106716609084116
165000000,1.106815445608415
166000000,1.106914791502824
167000000,1.107014645251345
168000000,1.107115005332936
169000000,1.10721587022161
170000000,1.107317238386451
171000000,1.107419108291725
172000000,1.107521478396902
173000000,1.107624347156743
174000000,1.10772771302134
175000000,1.107831574436208
176000000,1.107935929842328
177000000,1.108040777676204
178000000,1.108146116369937
179000000,1.108251944351292
180000000,1.108358260043742
181000000,1.108465061866553
182000000,1.108572348234815
183000000,1.10868011755955
184000000,1.108788368247724
185000000,1.108897098702339
186000000,1.109006307322504
187000000,1.109115992503471
188000000,1.109226152636693
189000000,1.109336786109933
190000000,1.109447891307278
191000000,1.109559466609216
192000000,1.109671510392707
193000000,1.109784021031225
194000000,1.109896996894856
195000000,1.110010436350314
196000000,1.110124337761033
197000000,1.110238699487232
198000000,1.110353519885937
199000000,1.110468797311105
200000000,1.110584530113629
201000000,1.110700716641424
202000000,1.110817355239501
203000000,1.110934444249992
204000000,1.111051982012243
205000000,1.111169966862877
206000000,1.111288397135809
207000000,1.111407271162368
208000000,1.111526587271324
209000000,1.111646343788954
210000000,1.111766539039087
211000000,1.111887171343201
212000000,1.112008239020449
213000000,1.112129740387738
214000000,1.112251673759776
215000000,1.112374037449134
216000000,1.112496829766344
217000000,1.112620049019877
218000000,1.11274369351628
219000000,1.112867761560195
220000000,1.112992251454433
221000000,1.113117161500023
222000000,1.113242489996277
223000000,1.113368235240858
224000000,1.113494395529808
225000000,1.113620969157644
226000000,1.113747954417383
227000000,1.113875349600636
228000000,1.11400315299761
229000000,1.114131362897244
230000000,1.11425997758719
231000000,1.114388995353916
232000000,1.114518414482749
233000000,1.114648233257922
234000000,1.114778449962674
235000000,1.11490906287922
236000000,1.115040070288906
237000000,1.115171470472221
238000000,1.115303261708813
239000000,1.115435442277613
240000000,1.115568010456866
