Y11 reS X,Y11 reS Y
10000000,0.9062695149738933
11000000,0.9053893088709879
12000000,0.9044272502465978
13000000,0.9033838706525088
14000000,0.9022597446314894
15000000,0.9010554889341357
16000000,0.8997717616827116
17000000,0.8984092614839831
18000000,0.8969687264933384
19000000,0.8954509334324194
20000000,0.8938566965627048
21000000,0.892186866617503
22000000,0.890442329694935
23000000,0.8886240061144539
24000000,0.8867328492396801
25000000,0.8847698442701819
26000000,0.8827360070049675
27000000,0.8806323825805242
28000000,0.8784600441861166
29000000,0.8762200917592159
30000000,0.8739136506638132
31000000,0.8715418703544386
32000000,0.8691059230286133
33000000,0.8666070022705284
34000000,0.8640463216886067
35000000,0.8614251135496257
36000000,0.8587446274120012
37000000,0.8560061287608052
38000000,0.8532108976469555
39000000,0.8503602273330357
40000000,0.8474554229480471
41000000,0.8444978001533557
42000000,0.8414886838220308
43000000,0.8384294067335816
44000000,0.8353213082861519
45000000,0.8321657332280019
46000000,0.8289640304100919
47000000,0.8257175515614289
48000000,0.8224276500887635
49000000,0.8190956799021205
50000000,0.8157229942674931
51000000,0.8123109446880089
52000000,0.8088608798146779
53000000,0.8053741443877912
54000000,0.8018520782099049
55000000,0.798296015151244
56000000,0.7947072821882738
57000000,0.79108719847605
58000000,0.7874370744548875
59000000,0.7837582109918151
60000000,0.7800518985571059
61000000,0.7763194164361861
62000000,0.7725620319770645
63000000,0.7687809998733441
64000000,0.7649775614828713
65000000,0.7611529441818715
66000000,0.7573083607544707
67000000,0.7534450088173495
68000000,0.7495640702792601
69000000,0.7456667108350291
70000000,0.741754079493637
71000000,0.7378273081399194
72000000,0.7338875111293546
73000000,0.7299357849153619
74000000,0.7259732077085143
75000000,0.7220008391670014
76000000,0.718019720117644
77000000,0.7140308723067632
78000000,0.710035298180103
79000000,0.7060339806910799
80000000,0.7020278831365192
81000000,0.6980179490190686
82000000,0.6940051019354426
83000000,0.6899902454896584
84000000,0.6859742632303819
85000000,0.6819580186115271
86000000,0.6779423549752146
87000000,0.6739280955562263
88000000,0.6699160435070618
89000000,0.665906981942726
90000000,0.6619016740043573
91000000,0.6579008629408473
92000000,0.6539052722075707
93000000,0.6499156055813685
94000000,0.6459325472909769
95000000,0.6419567621620028
96000000,0.6379888957757056
97000000,0.634029574640721
98000000,0.6300794063769622
99000000,0.6261389799109448
100000000,0.6222088656817314
101000000,0.6182896158568217
102000000,0.6143817645572204
103000000,0.6104858280910118
104000000,0.6066023051947588
105000000,0.6027316772820647
106000000,0.598874408698663
107000000,0.5950309469834184
108000000,0.5912017231346571
109000000,0.587387151881218
110000000,0.5835876319577243
111000000,0.5798035463834905
112000000,0.5760352627445978
113000000,0.572283133478615
114000000,0.568547496161528
115000000,0.5648286737963946
116000000,0.5611269751033378
117000000,0.5574426948104229
118000000,0.5537761139450759
119000000,0.5501275001256448
120000000,0.5464971078527626
121000000,0.5428851788001814
122000000,0.5392919421047681
123000000,0.5357176146553477
124000000,0.5321624013801572
125000000,0.5286264955325922
